Name,Coordinates,Population
Sacavém,"38.79202, -9.10801",17718
Strzelce Opolskie,"50.5107, 18.30056",20241
Baldwin Park,"34.08529, -117.9609",77071
Karamürsel,"40.69129, 29.61649",30525
Inkerman,"44.61391, 33.6098",10204
Lugazi,"0.36788, 32.9376",35036
Skokie,"42.03336, -87.73339",64821
Miller Place,"40.95982, -72.99621",12339
Brecksville,"41.31978, -81.62679",13440
Hickory,"35.73319, -81.3412",40374
South Riding,"38.92094, -77.50388",24256
Stratford,"41.18454, -73.13317",51384
Stará Ľubovňa,"49.29859, 20.6862",16000
Freetown,"8.48714, -13.2356",802639
Ati,"13.2138, 18.3393",29867
Camaguán,"8.10732, -67.60738",20791
Sakai,"36.1473, 136.19408",92210
Mohale's Hoek,"-30.15137, 27.47691",46593
Le Gros-Morne,"14.7, -61.0",11025
Bischofswerda,"51.12771, 14.17974",10788
Bad Rappenau,"49.23848, 9.1018",20581
Dishnā,"26.12242, 32.46749",64744
Montagu,"-33.78664, 20.12106",15176
Shurugwi,"-19.67016, 30.00589",22900
Katumba,"-9.23333, 33.61667",108558
Khorol,"49.78286, 33.27184",12540
Zwolle,"52.5125, 6.09444",111805
Camminghaburen,"53.20973, 5.84318",11500
Hūn,"29.12684, 15.94772",24431
Monaco,"43.73718, 7.42145",32965
San Nicola la Strada,"41.05237, 14.33334",21147
Pālitāna,"21.52519, 71.82309",55913
Jāmai,"22.19644, 78.59191",22587
Banga,"31.18874, 75.99495",19234
Sakaidechō,"34.32278, 133.8356",57090
Severínia,"-20.80944, -48.80278",13212
Leduc,"53.26682, -113.55201",15561
Honghe,"34.40972, 105.39",11942
Vénissieux,"45.69706, 4.88593",57584
Tourcoing,"50.72391, 3.16117",98656
Quetigny,"47.31667, 5.11667",10372
Aschaffenburg,"49.97704, 9.15214",68551
El Campello,"38.42885, -0.39774",27893
Salzhemmendorf,"52.067, 9.5872",10603
Arbutus,"39.25455, -76.69997",20483
Hempstead,"40.70621, -73.61874",55547
Luzhniki,"55.71599, 37.55376",30000
Arti,"56.42344, 58.53276",13564
Akyurt,"40.13512, 33.08614",26572
Arkadelphia,"34.12093, -93.05378",10745
Rădăuți,"47.85, 25.91667",23822
Muang Phônsavan,"19.4494, 103.1917",37507
Dolna Banjica,"41.78611, 20.90611",10147
Kidal,"18.44111, 1.40778",40030
Ciudad Mante,"22.74304, -98.9739",84787
Modica,"36.85868, 14.75966",54456
Sant'Anastasia,"40.86842, 14.40196",20733
San Giovanni Valdarno,"43.56757, 11.52987",16002
Kuju,"23.72536, 85.51023",19390
Kolāras,"25.21928, 77.61167",17174
Kodīnar,"20.79393, 70.70216",34930
Monmouth,"51.81265, -2.71363",10110
Hindley,"53.53333, -2.58333",24169
Brent,"51.55306, -0.3023",329100
Featherstone,"52.64483, -2.09315",14175
Barpeta Road,"26.50284, 90.96937",35281
Basrah,"30.50852, 47.7804",1326564
Bīrjand,"32.86628, 59.22114",196982
Biñan,"14.34267, 121.08071",300000
Khairpur Tamewah,"29.58139, 72.23804",30967
Schijndel,"51.6225, 5.43194",23239
Jiquílpan de Juárez,"19.99482, -102.71969",24233
Xalisco,"21.451, -104.8983",35702
Ayolas,"-27.38421, -56.83953",12061
Oriximiná,"-1.76556, -55.86611",35581
Cabedelo,"-6.98111, -34.83389",54839
Cajamar,"-23.35611, -46.87694",56682
Casilda,"-33.04417, -61.16806",32002
Kingston,"-27.66667, 153.11667",10518
Casino,"-28.85819, 153.04748",10863
Bullhead City,"35.14778, -114.5683",39445
Chirchiq,"41.46889, 69.58222",162800
Bagasra,"21.48719, 70.95516",32944
Cuilapa,"14.27639, -90.29889",41359
Canchungo,"12.43333, -16.08333",13652
Linden,"6.00809, -58.30714",44690
Pok Fu Lam,"22.26861, 114.12924",77100
Dokri,"27.37421, 68.09715",14800
Nnewi,"6.01962, 6.91729",193987
Saltillo,"25.42321, -101.0053",709671
Permatang Kuching,"5.46339, 100.38144",27191
Manhiça,"-25.40222, 32.80722",65240
Cascais,"38.69681, -9.42147",36436
Santo Antônio da Platina,"-23.295, -50.07722",35260
Osasco,"-23.5325, -46.79167",677856
Gandu,"-13.74389, -39.48667",21565
Cláudio,"-20.44333, -44.76583",21824
Caetité,"-14.06944, -42.475",27187
Alegre,"-20.76361, -41.53306",19757
Águas Vermelhas,"-15.74722, -41.46",16409
Candon,"17.19472, 120.45167",11236
Carrollton,"32.95373, -96.89028",133168
Highland Village,"33.09179, -97.04668",16149
Sugar Land,"29.61968, -95.63495",88156
Northbrook,"42.12753, -87.82895",33663
Grandville,"42.90975, -85.76309",15953
Westfield,"40.65899, -74.34737",30548
La Villa del Rosario,"10.3258, -72.31343",82766
Tinghir,"31.51472, -5.53278",45911
Nouakchott,"18.08581, -15.9785",1184530
Nicastro,"38.97089, 16.31285",40000
San Donato Milanese,"45.41047, 9.26838",28351
Belawan,"3.7755, 98.6832",102707
Valenton,"48.74527, 2.46467",11969
Vadakku Viravanallur,"8.69786, 77.51916",19689
Jarwal,"27.1629, 81.54179",17576
Calabar,"4.95893, 8.32695",540000
Hammamet,"35.44862, 7.95184",28536
Middelburg,"51.5, 3.61389",46485
Hoogland,"52.1825, 5.37361",10587
Nagarukhra City,"22.93938, 88.63776",49922
Quận Đức Thành,"10.25874, 105.646",70000
Orkney,"-26.98023, 26.67272",13435
Kotsiubynske,"50.48836, 30.32957",17623
Nebbi,"2.47826, 31.08893",30354
Noordwijk-Binnen,"52.234, 4.44474",24363
Lombardijen,"51.8738, 4.52192",13785
Paita,"-5.08917, -81.11444",56151
Kenitra,"34.26101, -6.5802",470949
Vondrozo,"-22.81667, 47.28333",19949
Vohipeno,"-22.35, 47.83333",15622
Ocotlán de Morelos,"16.79151, -96.67455",15016
Solofra,"40.83343, 14.83705",11886
San Vito al Tagliamento,"45.9168, 12.85945",12599
Phirangipuram,"16.29078, 80.26233",17335
Gummidipundi,"13.40765, 80.10879",16605
Bāfq,"31.6035, 55.40249",31215
The Peak,"22.26202, 114.15649",19202
Khanpur,"28.64739, 70.65694",142426
Poniatowa,"51.17983, 22.13093",10056
