Name,Coordinates,Population
Besbes,"36.70222, 7.84722",66287
Littleborough,"53.64413, -2.09581",13807
Neubrandenburg,"53.56414, 13.27532",68082
Socuéllamos,"39.28581, -2.79205",13163
Sanlúcar de Barrameda,"36.77808, -6.3515",68037
Salaga,"8.55083, -0.51875",25472
Schifferstadt,"49.38417, 8.3775",19209
Lāla,"24.55418, 92.61592",10942
Worcester Park,"51.37992, -0.24445",16031
Marple,"53.39452, -2.06292",18241
Kimberley,"52.98333, -1.26667",11273
Wielki Kack,"54.46754, 18.4881",10012
Canidelo,"41.12314, -8.64654",26431
Nassau,"25.05823, -77.34306",227940
Aldinga Beach,"-35.27826, 138.45802",10343
Morges,"46.51127, 6.49854",14117
Doboj,"44.73179, 18.08698",27235
Gligbeuadji,"5.2, -6.7",32380
Castel Maggiore,"44.57707, 11.36071",16068
Kensington,"40.64621, -73.97069",39120
Stara Pazova,"44.985, 20.16083",16217
Eldoret,"0.52036, 35.26993",475716
Bouarfa,"32.53379, -1.96209",31499
Teloloapan,"18.36663, -99.87185",23549
Liaozhong,"41.50611, 122.72417",54691
Luoyu,"33.84103, 105.23117",29955
Pinillos,"8.91925, -74.46771",23349
Pelaya,"8.68819, -73.66451",11306
Náchod,"50.4167, 16.16289",21263
Rodolfo Sánchez Taboada,"31.72099, -116.57184",22957
Gobabis,"-22.45338, 18.97159",22639
Ayorou,"14.73075, 0.91739",26290
Rioja,"-6.05675, -77.16651",25057
Siena,"43.31822, 11.33064",53901
Pergine Valsugana,"46.06434, 11.23758",11538
Monsummano Terme,"43.8672, 10.81295",12935
Matino,"40.03083, 18.1363",10966
Tomioka,"36.25411, 138.89813",47911
Kópavogur,"64.11234, -21.91298",37959
Chōfu,"35.65924, 139.54837",212977
Belle de Mai,"43.31184, 5.38541",14256
Stepney,"51.5175, -0.04292",16238
Sevenoaks,"51.27266, 0.18883",29506
Hoddesdon,"51.76148, -0.01144",35174
Guildford,"51.23536, -0.57427",71873
Thessaloníki,"40.64361, 22.93086",317778
Roses,"42.26199, 3.17689",20197
Montcada i Reixac,"41.48333, 2.18333",33453
Esparreguera,"41.53809, 1.87025",21855
Yamarugley,"6.80768, 46.08482",36000
Sarrebourg,"48.73558, 7.0572",14677
Dikili,"39.071, 26.89017",14125
Şile,"41.1754, 29.61333",11596
Pourham,"14.35, -16.41667",24146
Harvey,"29.90354, -90.07729",20348
Alenquer,"-1.94167, -54.73833",26290
Sobradinho,"-12.83333, -39.1",19304
Belford Roxo,"-22.76417, -43.39944",466096
Itacorubi,"-27.58315, -48.49503",12000
Campo Grande,"-27.2077, -54.97977",12040
Balcarce,"-37.84638, -58.25549",38823
Nollamara,"-31.88016, 115.84543",12779
Stabroek,"51.33189, 4.37127",17294
Cuitzeo del Porvenir,"19.97025, -101.1429",10239
Kota Kinabalu,"5.9749, 116.0724",500421
Uden,"51.66083, 5.61944",34601
Gryfino,"53.25243, 14.48831",21270
Muroto-misakicho,"33.28662, 134.16832",17601
Valdivia,"-39.81422, -73.24589",133419
Jianguang,"28.19377, 115.7836",61469
Jiagedaqi,"50.41667, 124.11667",135760
Fengping,"24.39735, 98.5177",69586
Baiersbronn,"48.50318, 8.37699",16248
Azua,"18.45319, -70.7349",59139
Tartu,"58.38062, 26.72509",91407
Opladen,"51.06863, 7.00387",23000
Fujiyoshida,"35.44032, 138.79586",48782
Tasbuget,"44.77018, 65.55461",16455
Los Alamos,"35.88808, -106.30697",12019
Nytva,"57.9437, 55.3396",20525
Chegem Vtoroy,"43.59583, 43.59944",10951
Hüyük,"37.95388, 31.59639",11502
Zolotonosha,"49.66926, 32.03637",27818
Port Saint Lucie,"27.29393, -80.35033",164603
Grovetown,"33.45042, -82.19818",13093
Stockbridge,"33.54428, -84.23381",28202
Wilmington Island,"32.00355, -80.97372",15138
Quincy,"39.9356, -91.40987",40780
Goderich,"8.42756, -13.28598",19209
Fullerton,"33.87029, -117.92534",140847
Hanford,"36.32745, -119.64568",55659
Zinjibār,"13.12871, 45.38073",19879
Shepshed,"52.7657, -1.29021",13505
Seondha,"26.15422, 78.7812",21326
Nalgonda,"17.05439, 79.26707",121826
Crépy-en-Valois,"49.23359, 2.88807",15694
Yuanyang,"29.66572, 106.55749",37009
Gibara,"21.10988, -76.13145",27603
Hof,"50.31297, 11.91261",49239
Āwash,"8.99364, 40.16637",36500
Nanterre,"48.89198, 2.20675",86719
Pama,"11.24972, 0.7075",13579
Koudougou,"12.25263, -2.36272",160239
Monte Alegre,"-2.00082, -54.08102",22840
Mateus Leme,"-19.98639, -44.42778",24890
Sena Madureira,"-9.06341, -68.67245",20516
Yagoona,"-33.9049, 151.01996",17908
Rejon ulicy Traugutta,"51.10247, 17.04827",20617
Banī Suhaylā,"31.34337, 34.32337",31272
Abakaliki,"6.32485, 8.11368",134102
Rivas,"11.43716, -85.82632",30000
Schiebroek,"51.95838, 4.47124",16305
Dhankutā,"26.98333, 87.33333",22084
Kiraz,"38.23056, 28.20444",11718
Radomyshl,"50.49613, 29.22911",15252
Goryachiy Klyuch,"44.63083, 39.13",28078
Yuci,"37.68028, 112.73194",235929
Jinzhou,"39.1, 121.71667",215386
Jaruco,"23.04419, -82.00919",20207
Lethbridge,"49.69999, -112.81856",70617
Goh,"5.2323, -6.63627",12186
Chaeryŏng-ŭp,"38.39917, 125.61556",53330
Martil,"35.61662, -5.27522",70274
Yaritagua,"10.08081, -69.1242",113343
Porlamar,"10.95771, -63.86971",216234
Mataró,"41.54211, 2.4445",121722
Saint-Jean-de-la-Ruelle,"47.91127, 1.86483",17522
Kutiyāna,"21.6241, 69.98494",16877
Tarakan,"3.31332, 117.59152",242786
Gongdanglegi Kulon,"-8.17529, 112.63594",22468
Varanasi,"25.31668, 83.01041",1164404
Rāyachoti,"14.05723, 78.75056",81433
Mokameh,"25.39662, 85.9219",55203
Plumstead,"51.48333, 0.08333",16736
Mediaş,"46.16667, 24.35",53040
Pančevo,"44.87177, 20.64167",76654
Masindi,"1.67444, 31.715",31486
Libertyville,"42.28308, -87.95313",20436
Signal Hill,"33.80446, -118.16785",11565
Lake Zurich,"42.19697, -88.09341",19993
Katori-shi,"35.89767, 140.49943",74469
As Sālimīyah,"29.33389, 48.07611",147649
Ait Yazza,"30.50188, -8.79917",15570
Oderzo,"45.78114, 12.49442",15764
Tomigusuku,"26.18583, 127.68192",55715
Carrigaline,"51.81167, -8.39861",15770
Thāsra,"22.79831, 73.21174",18337
Sanāwad,"22.17391, 76.06993",36455
Nawanshahr,"31.1245, 76.11613",31121
Onitsha,"6.14978, 6.78569",1553000
El Empalme,"9.41468, -82.52244",11035
Hārij,"23.69356, 71.907",18964
Bodhan,"18.66208, 77.88581",73938
Iida,"35.51965, 137.82074",101536
Butterworth,"5.3991, 100.36382",107591
Maribor,"46.55472, 15.64667",97019
Quảng Ngãi,"15.12047, 108.79232",32992
Zarqa,"32.07275, 36.08796",792665
Fīrozābād,"27.15092, 78.39781",306409
Athiémé,"6.5808, 1.6696",15195
Kuala Belait,"4.58361, 114.2312",31178
Kastsyukowka,"52.5387, 30.9173",10552
Schaerbeek,"50.86935, 4.37737",132761
Baicheng,"45.61751, 122.83302",316970
Changshu,"31.64615, 120.74221",1677050
Cárdenas,"23.03661, -81.20596",98515
Horní Počernice,"50.1121, 14.61036",14296
Hessisch Oldendorf,"52.17269, 9.24913",20129
Palamós,"41.84843, 3.12912",18161
Vaires-sur-Marne,"48.87649, 2.63982",12547
Tanjung Pandan,"-2.73353, 107.63477",103062
Ponorogo,"-7.8685, 111.462",79026
Mācherla,"16.47635, 79.43533",51039
Mendi,"-6.14755, 143.65633",26252
Bail-Hongal,"15.8137, 74.85895",47063
Sabzevar,"36.2126, 57.68191",226183
Ahoada,"5.0828, 6.64981",12848
kankrabari Dovan,"27.62881, 85.45934",10000
Mhango,"-3.28333, 32.85",21553
Volzhsk,"55.86661, 48.35931",58000
Şāmitah,"16.59601, 42.94435",26945
Rivera,"2.77717, -75.25642",22877
Malsch,"48.88333, 8.33333",14243
Quixeramobim,"-5.19917, -39.29278",34321
Várzea Paulista,"-23.21139, -46.82833",110936
São João del Rei,"-21.13556, -44.26167",78592
Morrinhos,"-17.73111, -49.09944",34143
Ibiá,"-19.47833, -46.53889",18428
Nelson,"49.49985, -117.28553",10664
Ferntree Gully,"-37.88461, 145.29539",27398
Soest,"51.57558, 8.10619",48037
Avintes,"41.10711, -8.55131",11577
Xilin Hot,"43.96667, 116.03333",120965
Arvada,"39.80276, -105.08748",115368
Águas Belas,"-9.11139, -37.12306",22563
Molepolole,"-24.40659, 25.49508",74861
Oakville,"43.45011, -79.68292",193832
Church-Yonge Corridor,"43.65965, -79.37902",31340
Vienna,"48.20849, 16.37208",1691468
Marsden,"-27.67342, 153.09732",13918
Gur’yevsk,"54.28333, 85.93333",25000
Bol’sherech’ye,"56.09252, 74.62716",12072
Oak Park,"42.45948, -83.18271",29752
Itayanagi,"40.69546, 140.45502",13332
Lugulu,"0.39337, 34.30399",40894
Chivolo,"10.02502, -74.62279",18208
el Parc i la Llacuna del Poblenou,"41.3986, 2.1903",14950
Banī Suwayf al Jadīdah,"29.033, 31.11408",32278
Rielasingen-Worblingen,"47.73465, 8.84013",11953
Sindelfingen,"48.7, 9.01667",61311
Mahbūbābād,"17.59728, 80.00207",37949
Didcot,"51.60928, -1.24214",29341
Sinfin,"52.88157, -1.48681",15128
La Courneuve,"48.92805, 2.39627",37287
Komaki,"35.28333, 136.91667",148872
Jocotenango,"14.57814, -90.73804",17918
Sonsonate,"13.71889, -89.72417",59468
Ban Nong Wua So,"17.2675, 103.22472",21722
El Hamma,"33.89152, 9.79629",73512
Apopka,"28.67617, -81.51186",48382
Marquard,"-28.66449, 27.43048",10839
Ixhuatlán del Sureste,"18.02137, -94.3886",10149
Macia,"-25.02694, 33.09889",32286
Madarounfa,"13.30867, 7.15602",16538
Madara,"11.7798, 10.4479",10015
Harenkarspel,"52.73416, 4.77682",15941
West Gulfport,"30.40409, -89.0942",71329
Haddonfield,"39.8915, -75.03767",11414
Acquaviva delle Fonti,"40.89704, 16.8433",20536
Amman,"31.95522, 35.94503",1275857
Tanabe,"33.73333, 135.36667",70972
Manoharpur,"27.29769, 75.9495",28928
Aurangābād,"24.75204, 84.3742",95929
Hachiōji,"35.65583, 139.32389",561344
Melipilla,"-33.68909, -71.21528",63100
Yangtun,"34.88333, 116.88333",53417
Licha,"36.05722, 119.78333",55140
Beloeil,"50.55047, 3.73484",13405
Itabaiana,"-7.32861, -35.3325",19100
Valinhos,"-22.97056, -46.99583",88630
Babruysk,"53.1384, 29.2214",209675
Uxbridge,"44.10012, -79.11628",21176
Vanadzor,"40.80456, 44.4939",101098
Wendelstein,"49.3523, 11.15069",16220
La Carolina,"38.27559, -3.61535",15306
Maldon,"51.7311, 0.67463",21462
Sangarédi,"11.1, -13.76667",54824
Patulul,"14.42321, -91.16049",40683
Mill Valley,"37.90604, -122.54498",14394
Castle Rock,"39.37221, -104.85609",55591
Cần Giờ,"10.41115, 106.95474",55137
Passaic,"40.85677, -74.12848",71085
Coquimatlán,"19.20625, -103.80952",13358
Domalanoan,"16.00292, 120.21154",15108
Asia,"9.5506, 122.5164",23546
Miastko,"54.00283, 16.98263",10954
Belgorod,"50.61074, 36.58015",345289
Pavlovo,"55.9686, 43.0912",63338
Bahçe,"37.19724, 36.57658",13117
Aliağa,"38.79975, 26.97203",44883
Wołomin,"52.34006, 21.24207",36592
Piaseczno,"52.0814, 21.02397",36278
Hawaiian Gardens,"33.8314, -118.07284",14592
Kemigawa,"35.65, 140.06667",11494
Sariwŏn,"38.50722, 125.75583",310100
Amizmiz,"31.21673, -8.23184",15685
Haldensleben I,"52.28906, 11.40982",20294
Freising,"48.40351, 11.74876",42570
Euskirchen,"50.66057, 6.78722",54889
Barßel,"53.16981, 7.75012",12475
Tizi Ouzou,"36.71182, 4.04591",104312
Carcaixent,"39.1218, -0.44812",21735
Logīya,"11.72615, 40.9797",34500
Ch’īna Hasen,"9.50528, 42.61111",25400
Roncq,"50.7533, 3.12131",13387
Dover,"51.12598, 1.31257",41709
Aflao,"6.11982, 1.19012",66546
Steinbach am Taunus,"50.16774, 8.57278",10170
Guazacapán,"14.07417, -90.41667",18855
So Kwun Wat,"22.37594, 114.00682",14475
Ouanaminthe,"19.54934, -71.72475",10118
Rantauprapat,"2.1, 99.83333",103009
Soko,"-7.48315, 112.42704",25494
Maba,"0.7007, 128.29197",12560
Ahmedabad,"23.02579, 72.58727",6357693
Casagiove,"41.07124, 14.31163",13654
Al Jubayhah,"32.01071, 35.89802",46834
Mahemdāvād,"22.82359, 72.75551",32504
Hadagalli,"15.02048, 75.93185",25311
Iranshahr,"27.20245, 60.68476",131232
Bellair-Meadowbrook Terrace,"30.17881, -81.74341",13343
Tashkent,"41.26465, 69.21627",1978028
Herbrechtingen,"48.62173, 10.176",13110
Beaufort,"32.43158, -80.66983",13306
Glen Allen,"37.66598, -77.50637",14774
Phanom Thuan,"14.13031, 99.69858",12469
Assinovskaya,"43.24167, 45.18194",10270
Springfield,"39.80172, -89.64371",116565
Wagar,"16.1525, 36.2032",11950
Wucheng,"29.60077, 118.17495",60212
Gulebage,"38.41269, 77.23028",22255
Mělník,"50.3505, 14.47411",19231
Hidrolândia,"-4.40806, -40.43778",10299
Wenceslau Braz,"-23.87389, -49.80278",15726
Luziânia,"-16.2525, -47.95028",143601
Assis,"-22.66167, -50.41222",105087
Corozal,"18.39375, -88.38849",13502
Ebo,"-11.05, 14.71667",10000
San Clemente,"-13.66667, -76.15",15815
Krasnodar,"45.04484, 38.97603",899541
Graben-Neudorf,"49.16695, 8.49243",11697
Magelang,"-7.47056, 110.21778",121526
Sathyamangalam,"11.50526, 77.23826",34011
Sānwer,"22.97415, 75.8271",14215
Nayāgarh,"20.12882, 85.09626",16001
Manamadurai,"9.67318, 78.47096",27493
Kulgam,"33.64456, 75.01923",16246
Kodarmā,"24.46753, 85.59397",19180
Rhyl,"53.31929, -3.49228",25874
Savelugu,"9.62441, -0.8253",40654
Ryōtsu-minato,"38.07817, 138.43939",16359
Acarlar,"37.82444, 27.74667",10595
Kharagpur,"22.33971, 87.32501",219665
Razzakov,"39.83895, 69.5276",34219
Yeongdong,"36.175, 127.77639",24154
Millerovo,"48.92265, 40.39673",38527
Koidu,"8.64387, -10.9714",124662
Tselina,"46.53381, 41.03284",11075
Bloomsburg,"41.0037, -76.45495",14585
Wahiawā,"21.50279, -158.02464",17821
Ðông Hà,"16.81625, 107.10031",17662
Cái Răng,"10.0009, 105.75095",86278
Aden,"12.77944, 45.03667",863000
Ladybrand,"-29.19448, 27.45739",17228
Lodwar,"3.11988, 35.59642",82970
Tlapacoyan,"19.96268, -97.21141",35338
Sarno,"40.80748, 14.62151",28837
Gioia del Colle,"40.79968, 16.92298",24184
Cossato,"45.57032, 8.18471",13931
Wiset Chaichan,"14.5945, 100.33825",19129
Ar Rudayyif,"34.3827, 8.15549",26976
Ezzouhour,"35.79014, 10.58264",17348
Sivas,"39.74833, 37.01611",264022
Xiongzhou,"25.11667, 114.3",79050
Damiao,"29.6443, 106.06956",16277
Zhonghe,"25.05575, 98.39993",37682
Er Reina,"32.72339, 35.31622",15621
Sivaganga,"9.84701, 78.48358",42785
Bergeijk,"51.31917, 5.35833",18181
Shingū,"33.71399, 130.4313",31236
Muramatsu,"37.69257, 139.17127",19712
Karori,"-41.28374, 174.74141",15380
Paradise,"39.75961, -121.62192",26476
Urgut Shahri,"39.41902, 67.26118",47373
Charallave,"10.24247, -66.85723",129182
Garba Tula,"0.53392, 38.51878",17443
Yanjing,"29.94494, 106.35025",24680
Shima,"24.44647, 117.81216",68375
Ainring,"47.81311, 12.94048",10028
Guayaquil,"-2.19616, -79.88621",2723665
Agbaou,"6.34136, -3.85433",10386
Roswell,"33.39437, -104.52491",48544
Normal,"40.5142, -88.99063",54373
Winthrop,"42.3751, -70.98283",17618
Izra‘,"32.86709, 36.25072",13882
Santa Rosa Beach,"30.39603, -86.22883",32459
Sukumo,"32.93333, 132.73333",19292
Ouallam,"14.31641, 2.08597",14338
Kampong Chhnang,"12.25, 104.66667",75244
Oulad Yaïch,"32.43498, -6.3245",10560
Eglinton East,"43.73917, -79.24576",22776
Libenge,"3.65332, 18.63566",37344
Beckum,"51.75571, 8.04075",37814
Frederikssund,"55.83956, 12.06896",16850
Drean,"36.68482, 7.75111",55147
Beni Douala,"36.61954, 4.08282",33611
Malpassé,"43.3217, 5.41551",11148
Swadlincote,"52.774, -1.55744",40960
Santiago Atitlán,"14.63823, -91.22901",33309
Goussainville,"49.01367, 2.46595",30047
Eustis,"28.85277, -81.68535",19986
Ives Estates,"25.96231, -80.17671",19525
Naples,"26.14234, -81.79596",21512
Urlaţi,"44.98333, 26.23333",11798
Blaj,"46.17508, 23.91578",20371
Belovo,"54.4165, 86.2976",75764
Sulţānah,"24.49258, 39.58572",946697
Białogard,"54.00696, 15.98751",24368
Shigu,"26.86852, 99.95628",21006
Trinity-Bellwoods,"43.64791, -79.40849",16556
Gagny,"5.0491, -6.74477",15910
Jainagar,"26.59048, 86.13791",20496
Jaspur,"29.27919, 78.82798",42524
Balāngīr,"20.70419, 83.49029",91241
Pādegān-e Manjīl,"36.7415, 49.4161",17396
Fung Tak Estate,"22.34432, 114.20087",12066
Tláhuac,"19.28689, -99.00507",305076
Fontana,"34.09223, -117.43505",212704
Susanville,"40.41628, -120.65301",15247
Wik’ro,"13.79525, 39.60303",64000
St. Georg,"53.55513, 10.01231",11349
Muan,"34.99014, 126.47899",75718
Gangneung,"37.75266, 128.87239",180611
Zhosaly,"45.48778, 64.07806",20065
Diourou,"13.68719, -5.83203",26559
Tetela del Volcán,"18.89306, -98.72972",10199
Lachi,"33.38291, 71.33733",18537
Parit Buntar,"5.12671, 100.49316",27313
Ypenburg,"52.04098, 4.36981",30000
Milazzo,"38.22008, 15.24023",31771
Grottammare,"42.98182, 13.86765",14572
Sanjō,"37.61667, 138.95",82893
San Isidro,"-34.46971, -58.52111",45190
Maddington,"-32.05, 115.98333",12419
Butler,"-31.64298, 115.70431",13473
Bulalacao,"12.32535, 121.34351",12027
Suwałki,"54.11175, 22.93087",69222
Nowy Tomyśl,"52.3195, 16.12844",15179
Pomigliano d'Arco,"40.90975, 14.38316",38921
Alghero,"40.55969, 8.31953",34261
Tōkamachi,"37.13333, 138.76667",53333
Matsubara,"34.56667, 135.55",130855
Lecheng,"25.128, 113.35041",124268
Guiyang,"26.58333, 106.71667",3037159
Heshun,"29.4123, 107.42352",11899
Onyar,"43.85037, 81.78308",26322
Guéyo,"5.6882, -6.0712",15080
Kampong Cham,"11.99339, 105.4635",61750
Sewell,"39.7665, -75.14434",37433
Lewisville,"33.04623, -96.99417",104039
Des Plaines,"42.03336, -87.8834",58677
Cupertino,"37.323, -122.03218",60572
Bouznika,"33.78942, -7.15968",40663
Santa Ana Pacueco,"20.34722, -102.01583",10052
Dwārka,"22.23944, 68.96778",35837
Ingeniero Pablo Nogués,"-34.47775, -58.70652",38470
Huangshan,"26.82634, 100.21906",20136
San Ramón,"10.08802, -84.47022",10765
Erlenbach am Main,"49.80341, 9.16311",10235
Wittmund,"53.57674, 7.77839",21355
La Defense,"48.89198, 2.23881",20000
Staines,"51.43092, -0.50606",51040
Ashaiman,"5.69951, -0.03484",190972
Rethymno,"35.36555, 24.48232",32468
Ara Ali,"5.96667, 41.03333",23000
Suşehri,"40.16005, 38.08413",25820
Sighișoara,"46.22141, 24.79279",34537
Iziaslav,"50.11978, 26.82475",16162
Berdychiv,"49.89408, 28.60144",73046
Alushta,"44.67728, 34.4097",29586
Kiboga,"0.91611, 31.77417",14512
Florida Ridge,"27.58031, -80.38672",18164
Colonia Nativitas,"19.38119, -99.13685",60000
Gisborne,"-38.65333, 178.00417",37300
Tindivanam,"12.234, 79.65551",69839
Rājnagar,"24.88929, 79.91178",13390
Santa Clarita,"34.39166, -118.54259",182371
Millcreek,"40.68689, -111.87549",62139
Poulsbo,"47.73593, -122.64654",10041
Bainbridge Island,"47.62621, -122.52124",23840
Santa Cruz de Mara,"10.79269, -71.68505",69781
Yên Bái,"21.72288, 104.9113",96540
Hà Tiên,"10.3831, 104.48753",40000
Mitrovicë,"42.88333, 20.86667",107045
Meridian,"32.36431, -88.70366",39661
North Chicago,"42.32558, -87.84118",29491
Dover,"40.88399, -74.5621",18346
La Democracia,"14.22919, -90.94806",13400
La Motte-Servolex,"45.59702, 5.86724",13499
Isulan,"6.62944, 124.605",31717
Yoshkar-Ola,"56.63877, 47.89078",268272
Laranjeiro,"37.06799, -7.8078",20473
Foz do Douro,"41.15119, -8.67125",10997
Lyman,"48.98616, 37.80307",20066
Safety Harbor,"27.99085, -82.69316",17454
Havre de Grace,"39.54928, -76.09162",13504
Wheaton,"39.03983, -77.05526",48284
Rivazzurra,"44.04186, 12.60894",14000
Vukovar,"45.35161, 19.00225",22255
Teluknaga,"-6.09889, 106.63806",128275
Bad Lippspringe,"51.78333, 8.81683",15175
Aïn Temouchent,"35.29749, -1.14037",70810
Munsha‘at Abū ‘Umar,"30.90711, 32.02341",22543
Al Burj,"31.58229, 30.98095",60320
Valencia,"39.47391, -0.37966",792492
West Ham,"51.53333, 0.01667",15551
Stranraer,"54.90234, -5.02731",10510
Scunthorpe,"53.57905, -0.65437",81576
Horn Lake,"34.95537, -90.03481",26915
Jackson,"39.7765, -74.86238",54856
Cadillac,"44.25195, -85.40116",10373
Albert Lea,"43.64801, -93.36827",17674
Howard Beach,"40.65788, -73.83625",26148
Meadville,"41.64144, -80.15145",13061
Esil,"51.95453, 66.40772",13504
Ar Rayāyinah,"32.02684, 12.35643",15031
Myitkyina,"25.38327, 97.39637",90894
Juan Rodríguez Clara,"17.99283, -95.40099",14628
Cozumel,"20.50038, -86.94272",77236
Benito Juárez,"22.20067, -97.84085",14990
Settimo Milanese,"45.47771, 9.05574",14946
Shāmli,"29.4497, 77.30959",97966
Pātūr,"20.46093, 76.93725",21747
Māngrol,"21.12268, 70.11484",58989
Innoshima,"34.28333, 133.18333",26141
Alotenango,"14.48585, -90.80437",23986
Estella-Lizarra,"42.67182, -2.03226",14238
Chigwell,"51.61999, 0.07596",10354
Bedford,"52.13459, -0.46632",106940
Friedrichshain,"52.51559, 13.45482",117829
Frankfurt am Main,"50.11552, 8.68417",650000
Monte Plata,"18.807, -69.78399",15532
Moguer,"37.27559, -6.83851",19569
Wasaga Beach,"44.5168, -80.01637",20675
Sassenberg,"51.99223, 8.04068",14273
Lupao,"15.8793, 120.8983",11000
Tomaszów Mazowiecki,"51.53131, 20.00855",67197
Seini,"47.75, 23.28333",10382
Vicuña,"-30.03541, -70.71274",13496
Wulingyuan,"29.34936, 110.54407",52712
Tumen,"42.96562, 129.84199",78719
Tange,"34.62764, 104.84062",37074
Arele,"38.38008, 77.31324",17398
Venadillo,"4.71929, -74.92918",11310
Manatí,"21.3107, -76.93403",13278
Kutná Hora,"49.94839, 15.26816",21280
Batalha,"-9.67778, -37.12472",11820
Presidente Bernardes,"-22.00611, -51.55306",12953
Kalodzishchy,"53.944, 27.7823",17000
Parksville,"49.31947, -124.31575",12000
Regent Park,"43.66041, -79.3615",10803
Pradl,"47.26539, 11.4152",32588
Lubumbashi,"-11.66089, 27.47938",2221925
Schlieren,"47.39668, 8.44763",12695
Farīdpur,"23.60612, 89.84064",112187
Machelen,"50.91061, 4.44174",12252
Al Fqih Ben Çalah,"32.50213, -6.68771",111402
Maltrata,"18.81091, -97.27538",11842
Maputo,"-25.96553, 32.58322",1254837
Garrel,"52.95, 8.01667",12273
Lesnoy,"57.6198, 63.0784",55100
Al Wajh,"26.23094, 36.46492",26636
Summerfield,"36.20875, -79.90476",10861
Kardzhali,"41.65, 25.36667",51000
Ashington,"55.17719, -1.56412",27670
Smethwick,"52.49268, -1.96745",12842
Shymkent,"42.3, 69.6",1200000
Konayev,"43.86681, 77.06304",42167
Ait Melloul,"30.34164, -9.50356",187652
Sadabe,"-18.63333, 47.7",17000
Chichén-Itzá,"20.66667, -88.56667",18000
Manfla,"7.41135, -5.91127",12151
San Pedro,"9.92829, -84.05074",27477
Lido,"45.4105, 12.36649",15719
Kovel,"51.21526, 24.70867",67575
Dunkirk,"42.4795, -79.33393",12081
Kirkwood,"38.58339, -90.40678",27750
Uddevalla,"58.34784, 11.9424",34781
Delbrück,"51.76503, 8.56223",29884
Ózd,"48.21667, 20.3",38476
Rio Claro,"-22.41139, -47.56139",180147
Araci,"-11.33333, -38.96667",15088
St.Andrew-Windfields,"43.75625, -79.37904",17812
Olhão,"37.0286, -7.8411",29239
Bras-Panon,"-20.99667, 55.67823",13344
Rudnyy,"52.97244, 63.11055",124000
Buenavista,"19.60833, -99.16944",206081
El Crucero,"11.99008, -86.30954",16469
Bakoti,"13.43, -16.69833",20314
Olot,"42.18096, 2.49012",33524
l'Antiga Esquerra de l'Eixample,"41.38939, 2.15517",42161
Hamme,"51.09822, 4.13705",22891
Parakou,"9.33716, 2.63031",255478
Djakotomé,"6.8991, 1.71618",19498
Itapipoca,"-3.49444, -39.57861",55784
Rio Branco do Sul,"-25.19, -49.31417",26441
Eringate-Centennial-West Deane,"43.65802, -79.58044",18588
Río Gallegos,"-51.62261, -69.21813",95796
Mohiuddinnagar,"25.57374, 85.66944",14938
Fraserburgh,"57.68744, -2.01844",13140
Bilāspur,"22.08005, 82.15543",282705
Chemmumiahpet,"14.46289, 78.81191",31416
Torbat-e Jām,"35.244, 60.6225",58928
Puryŏng,"42.06056, 129.71167",12267
Yeoju,"37.29583, 127.63389",37490
Târgu Ocna,"46.27899, 26.61301",13127
Ikoma,"34.68333, 135.7",120741
North Little Rock,"34.76954, -92.26709",66504
Faaa,"-17.55933, -149.60352",29851
Talibon,"10.14917, 124.325",11209
Bartoszyce,"54.25354, 20.80819",23482
Świebodzin,"52.24751, 15.53355",21757
Trnava,"48.37741, 17.58723",63194
Eyl,"7.9803, 49.8164",18904
Dourbali,"11.80617, 15.8669",18604
Orlando,"28.53834, -81.37924",307573
Smolensk,"54.77944, 32.04371",330025
Kuvshinovo,"57.02857, 34.17895",10960
Alba Iulia,"46.06667, 23.58333",66085
Hegeng,"29.13696, 105.86988",38106
Zhongshan,"34.93806, 105.8775",27147
Baiqiao,"31.28192, 108.59375",13796
Lahān,"26.72022, 86.48258",102955
Jérémie,"18.65, -74.11667",97503
Dombóvár,"46.37657, 18.13696",20748
Vejalpur,"22.69021, 73.56299",121610
Chandauli,"25.25803, 83.26825",25035
Ashta,"16.94943, 74.40936",35497
Al Fallūjah,"33.34913, 43.78599",190159
Soria,"41.76401, -2.46883",39528
Mouzaïa,"36.46695, 2.68991",28552
Romorantin-Lanthenay,"47.36667, 1.75",19953
Orvault,"47.27117, -1.62361",25338
Pamekasan,"-7.1568, 113.4746",92447
Shrīrāmpur,"22.75278, 88.34222",226317
Sattenapalle,"16.39381, 80.15221",53603
Nanjangūd,"12.11764, 76.68397",50243
Korwai,"24.11774, 78.04007",15136
Liverpool,"53.41058, -2.97794",864122
Darras Hall,"55.0356, -1.76425",15000
Mandelia,"11.73017, 15.24468",19373
Siverek,"37.75503, 39.31667",175341
Gördes,"38.93278, 28.28942",11168
La Mirada,"33.91724, -118.01201",49520
Cheney,"47.48739, -117.57576",11534
Polazna,"58.2922, 56.4156",12973
Moskovskiy,"55.59911, 37.35495",15435
Myski,"53.709, 87.8014",44082
Laurel,"39.09928, -76.84831",26215
Ostbevern,"52.04018, 7.84229",10644
Holzwickede,"51.5, 7.63333",17821
Stuttgart Feuerbach,"48.80867, 9.15719",28046
Injibara,"11.0, 36.91667",47500
Felana,"9.46498, 42.18447",26200
Jakobstad,"63.67486, 22.70256",19238
Šibenik,"43.73429, 15.8942",31115
